turnover_id,employee_id,termination_date,reason_id,exit_interview_notes
76,351,2023-07-01,1,Collection turn economic watch.
77,352,2025-01-26,7,Cause response accept.
78,355,2020-12-18,4,Anything dark yeah movement.
79,357,2023-05-09,4,Laugh stuff put mission.
80,358,2024-01-24,1,Figure course thank apply.
81,359,2024-07-12,7,Whatever buy decide two society.
82,360,2025-01-22,3,Get trip change place main rise newspaper although.
83,363,2023-07-15,7,Old several against happen pattern.
84,366,2022-03-25,5,Property especially trade relationship factor.
85,373,2021-05-08,5,Animal throughout green few night.
86,394,2023-01-23,4,Property unit might college brother.
87,395,2023-04-04,4,Meet despite treat laugh everyone.
88,396,2023-11-30,6,General system shake kid oil.
89,397,2024-06-21,4,Quickly there capital.
90,400,2023-09-08,4,Office movement somebody service best.
91,404,2022-12-27,5,Off wait campaign fast model plan.
92,410,2020-10-16,3,North deal century series.
93,411,2024-12-26,1,Seven us old century common.
94,421,2021-12-28,2,War air list specific.
95,425,2024-03-28,7,Significant consider order great team evening society.
96,427,2023-11-17,2,Strategy pick born audience language huge.
97,429,2024-03-21,6,Sell television see skin since course.
98,433,2024-01-09,3,Couple at organization have measure job project partner.
99,440,2023-10-20,7,Kind rise even morning ago those.
100,447,2023-11-30,7,Meet away pick available by six program.
101,450,2024-10-24,6,Dark couple list yard catch.
102,453,2023-04-15,5,Order second accept coach majority.
103,454,2023-05-15,1,Culture relate would life beat politics.
104,455,2024-04-20,2,Care conference thousand firm agreement her course.
105,462,2023-05-23,1,Reduce impact entire strategy.
106,489,2023-07-15,6,Type society candidate family.
107,493,2024-06-11,7,President out author try nice guess.
108,497,2024-10-19,7,Activity money small foot activity.
109,500,2023-09-27,3,Seek course grow no reality simply.
110,502,2023-11-08,6,Someone final improve food scientist business represent maybe.
111,503,2024-08-08,4,Assume with practice certainly.
112,510,2022-05-31,7,Difference really begin end spend.
113,511,2022-07-12,5,Seem town professor window sound.
114,512,2022-03-16,4,Mean rate piece.
115,514,2023-09-02,4,Among account world clear million.
116,516,2024-04-01,3,Near understand color fire move.
117,520,2021-05-01,1,Thus medical rest system few whole.
118,526,2022-06-13,3,Theory bill cultural first.
119,527,2023-01-17,6,Century rather friend rich any newspaper trial let.
120,529,2021-12-31,5,Forget wind half but easy way.
121,532,2023-07-27,1,Change majority view audience case.
122,536,2023-05-21,6,Poor no person network.
123,558,2021-02-03,3,Might Congress middle mother.
124,562,2024-06-20,7,Court talk leg paper not Republican.
125,577,2024-01-25,2,Admit night gas million shake.
126,579,2025-01-10,2,Truth collection boy.
127,590,2024-01-23,7,Occur list prepare.
128,596,2024-02-18,6,Matter different professor admit position along behavior language.
129,600,2022-07-27,1,Hotel base hundred present story picture all set.
130,610,2024-10-06,1,Business among lot population nature.
131,612,2025-03-04,5,Property pretty sign upon.
132,613,2024-02-13,7,Nation consumer away study my.
133,631,2023-01-12,1,Successful at represent far forget.
134,636,2024-10-08,6,Raise choice coach back compare law report.
135,638,2022-06-27,2,Simply opportunity much artist many power.
136,646,2025-02-01,7,Stand character fill daughter gas.
137,647,2023-06-23,4,Interesting operation top goal yourself yourself administration.
138,664,2024-01-27,5,Power rate third total.
139,665,2024-07-05,3,Street kid interest develop measure best.
140,668,2023-12-16,2,Indeed Mr camera miss take.
141,670,2021-10-04,5,Window sport too care.
142,686,2023-07-26,7,Point movie author down effect it.
143,687,2023-09-02,1,Bar science available true place cost program.
144,690,2023-12-12,7,Indicate whom hot.
145,691,2024-08-13,4,Play stay somebody road mind.
146,693,2024-12-23,4,Trip sometimes prepare bag sense interesting for free.
147,695,2025-03-05,6,Fine single activity clearly key attack.
148,696,2023-06-23,5,Off off on cause move cost.
149,697,2023-08-10,3,Create successful policy during across travel.
150,702,2024-05-15,2,West debate ability fly party drug want four.
151,704,2024-04-15,2,Phone though together occur anyone north.
152,706,2023-09-20,2,Hotel yourself sit.
153,707,2024-12-09,6,First after minute effect simple compare.
154,708,2023-06-14,1,Of hope along hard agreement explain.
155,709,2023-05-15,6,Tax toward support offer put.
156,712,2022-05-02,4,Right century southern control she rule.
157,714,2023-08-02,5,Box nation save machine.
158,732,2023-04-22,4,Act their mission fact reveal.
159,736,2022-10-20,2,Such space similar world fish bank college.
160,738,2022-09-30,7,Person defense probably politics front.
161,739,2023-10-30,2,Note today person plan official end.
162,743,2023-10-02,4,Into many shoulder tough eight create watch.
163,753,2024-06-24,2,Fact eat four others catch religious war.
164,757,2023-11-27,1,Represent fight officer long.
165,769,2024-01-29,6,Key along successful network.
166,774,2023-12-19,7,Behind political laugh raise family kid.
167,776,2025-01-24,2,Throughout property head shake strong building real.
168,777,2022-08-23,1,Risk owner man half.
169,778,2024-10-11,6,Attention without difficult radio color difference kind.
170,784,2021-08-07,6,Inside movement another interest issue response dinner.
171,790,2023-07-27,6,Yourself officer then floor attention.
172,795,2022-11-07,4,Case whole she enough none.
173,797,2025-03-03,3,Agreement free east themselves hundred environment.
174,803,2024-07-10,4,Couple happen line.
175,805,2023-12-03,5,Defense bag lose finish rich voice break.
176,807,2024-05-27,3,Federal ability camera protect student.
177,810,2022-04-14,1,Amount friend serve huge ok price beat.
178,812,2024-10-19,5,Trip very animal.
179,815,2022-11-18,6,Success personal again week performance clearly very.
180,816,2022-11-29,5,Care lose final stand.
181,821,2023-03-23,6,Instead blue yourself think simple.
182,825,2021-01-25,5,Begin like pay wind agent.
183,826,2024-06-15,7,With might since catch.
184,829,2023-09-14,1,System without mind base his his policy.
185,832,2024-12-11,2,Yourself build school pattern see go.
186,838,2023-03-29,2,Their family although.
187,842,2022-03-02,7,Probably three carry only.
188,851,2024-11-06,2,Third agency serious.
189,853,2024-06-18,6,You move begin admit prepare collection wide.
190,856,2023-01-05,4,Clear quite right bed wait natural.
191,859,2025-02-11,2,List population could.
192,860,2024-05-16,6,Leg information remember must value.
193,862,2022-05-19,1,Represent particular although affect radio improve.
194,865,2023-02-26,5,Cup subject various effect perform check first.
195,867,2022-07-15,6,Establish daughter third score source feeling happen.
196,868,2024-02-07,4,Treat hard occur TV student technology media.
197,870,2021-01-19,7,Participant bag line low loss accept Mr should.
198,871,2023-10-28,4,Talk great nation building raise start.
199,873,2024-10-06,6,Peace scientist night son six.
200,881,2023-06-19,3,Partner heavy his fire.
201,883,2021-06-06,4,Hundred brother which small.
202,885,2022-12-29,6,Opportunity share crime capital church without necessary.
203,889,2022-06-23,3,Outside lay part American.
204,891,2024-05-28,5,West gas reach others guy computer.
205,893,2024-01-22,1,Source score performance perform Congress hair wait.
206,897,2022-04-12,5,Out decide nice yourself own.
207,901,2024-12-16,5,Participant manage source federal interesting.
208,905,2022-06-26,6,Arm too rise or range crime situation.
209,913,2022-04-13,5,Politics west thus thank.
210,918,2021-03-08,1,City wind detail across.
211,923,2023-03-02,1,Consider when popular maybe identify.
212,924,2023-10-01,5,Approach part spring.
213,926,2022-05-19,2,Picture our sense glass.
214,928,2025-01-10,6,Thousand black better one daughter.
215,932,2022-08-15,6,Success resource next four never indicate process.
216,935,2020-12-19,1,On expert through board despite husband old.
217,939,2023-08-24,3,Will man low.
218,940,2024-05-21,3,Any resource radio key who.
219,941,2024-05-09,4,Figure admit follow.
220,945,2022-09-24,2,Fight coach hair just poor.
221,950,2022-04-20,1,Form suggest Republican mother include skin.
222,951,2021-10-29,4,Stage see task debate wait soldier community himself.
223,964,2021-08-13,3,Stuff region history.
224,970,2023-04-18,6,Tv themselves wind around show resource weight.
225,974,2024-05-02,7,Amount his this consider task service.
226,981,2024-03-09,1,Cell kid after will task stuff per.
227,988,2024-06-06,3,More world consider response set whom.
228,989,2024-06-23,7,Expect plant in ten listen room recent.
229,993,2022-09-24,2,Music within strategy democratic best tough.
230,994,2025-02-05,6,Accept among interest nor word.
231,1006,2025-01-02,2,Season professor watch near teach.
232,1009,2023-03-21,4,Very his great view determine statement structure.
233,1016,2024-12-19,5,Public whole there true specific food even.
234,1017,2024-02-29,7,Ago piece change discuss run drive.
235,1019,2022-06-13,4,Life exactly issue help claim will.
236,1023,2024-06-20,4,Chance anyone mean fire help health with war.
237,1025,2022-09-22,1,Me wall thing person carry many.
238,1034,2025-02-28,4,Perhaps both soldier determine political.
239,1036,2023-08-22,1,Sea low along.
240,1038,2025-03-03,7,Sit both itself agent boy make.
241,1040,2023-07-25,4,Enough career nation.
242,1041,2021-05-24,3,System source culture wife peace.
243,1043,2024-10-17,4,Standard let represent investment.
244,1046,2023-12-02,2,Against yeah property president little guy.
245,1047,2024-11-27,2,Institution that one choice without receive carry.
246,1048,2023-07-08,6,American away old stop any give meet.
247,1049,2022-10-13,4,Small clear leg give make course dark visit.
248,1052,2025-02-23,4,Rock up bag bank best staff.
249,1056,2023-01-24,5,That admit less by activity.
250,1057,2022-09-08,6,Condition almost expect campaign.
251,1059,2024-07-27,1,Figure hour list thank.
252,1067,2021-04-29,7,Member wall these short office.
253,1072,2023-10-24,3,Need mind per art hospital generation view college.
254,1077,2023-11-25,3,Space friend old hot assume available require public.
255,1078,2025-02-04,4,Common care difference.
256,1079,2024-10-01,7,Garden place remain us walk almost play.
257,1083,2023-09-02,2,Gun trade teach white.
258,1084,2024-12-13,6,Customer economic light maybe smile.
259,1087,2024-06-03,4,Parent remember mother friend red evening responsibility also.
260,1089,2023-09-03,5,Million already build modern price sometimes about.
261,1096,2024-12-16,7,Hospital community my list rather add.
262,1098,2023-10-08,6,Method offer cold save role better former.
263,1106,2022-04-08,2,White change officer have central.
264,1111,2024-04-27,6,Perform work recognize military conference several teacher.
265,1127,2023-12-14,7,Interesting right still choice start history.
266,1131,2024-10-22,4,Although million truth election bad.
267,1133,2022-07-07,6,Blue police movie simple former front.
268,1149,2024-10-17,3,Ever guy represent leave.
269,1150,2023-08-22,7,Case everybody year own decide.
270,1156,2025-03-13,1,Per rise movie nearly board line likely.
271,1157,2024-02-07,2,Thing sell education yet ability hard represent.
272,1164,2020-06-09,3,Agree history if court nice current.
273,1166,2023-09-06,5,Late dog detail century.
274,1168,2024-09-26,4,Describe its senior memory vote himself most.
275,1172,2024-02-27,3,Democratic hope through attorney we.
276,1173,2024-07-10,5,War one yard computer support organization.
277,1176,2024-09-08,3,Art quite fear debate itself say travel.
278,1177,2025-01-07,4,Perhaps without act partner every forget.
279,1180,2021-10-04,1,Exist pattern example quite.
280,1182,2024-11-20,1,Check friend card reveal level energy.
281,1185,2021-08-23,2,Fear word through no bring technology thousand.
282,1193,2023-11-06,6,Together it son.
283,1195,2023-01-30,7,Enjoy indeed run me product just.
284,1196,2023-12-16,3,Reveal arm challenge activity energy talk truth.
285,1199,2024-06-12,6,Field generation seem care.
286,1201,2023-02-21,4,Then material wrong.
287,1209,2024-12-04,2,Area different after clear cold another clearly hour.
288,1211,2024-12-31,5,Spend suggest without air bar miss need those.
289,1219,2024-11-18,7,Thousand speech approach.
290,1226,2023-11-27,6,Television doctor court have.
291,1235,2025-01-28,4,Establish newspaper town attack.
292,1236,2022-05-28,1,Wonder seek seek keep.
293,1239,2024-07-13,1,Happen history hear head know policy.
294,1247,2025-02-22,4,Tv mind PM though.
295,1252,2024-08-05,5,Region start if third kind.
296,1258,2022-11-27,4,Happy unit among notice mention billion weight.
297,1262,2024-11-12,5,Animal south pay too hotel human.
298,1271,2023-05-12,5,Image kid town example stage.
299,1272,2023-11-10,5,Discuss many green senior behind.
300,1273,2023-05-26,5,Develop land different lot fill room market.
301,1277,2023-10-04,6,Sell you politics their sit region.
302,1278,2025-03-09,1,Mission provide performance same why hit.
303,1281,2024-06-25,2,Approach western month door.
304,1282,2024-09-20,1,Surface tough officer listen store any.
305,1284,2023-10-05,3,Without deep station space late open strategy fund.
306,1289,2023-11-09,3,Land long realize task ok three.
307,1294,2024-04-20,3,Look marriage concern else knowledge.
308,1295,2023-01-08,6,Picture ball theory mind skill Congress.
309,1305,2025-01-12,6,Cut pay cost north family scientist federal.
310,1313,2021-10-17,7,Hold difference would here small draw.
311,1318,2022-04-15,2,Onto event father to major.
312,1319,2022-04-19,2,History would the white task.
313,1322,2024-11-06,6,Least city cup alone case help adult.
314,1332,2021-03-22,7,Describe behind second hotel.
315,1333,2023-03-13,3,Inside Congress money president would ahead recognize.
316,1341,2022-05-11,1,Space despite deal let style enjoy task.
317,1349,2023-07-21,1,Within he strategy high me street machine.
318,1351,2024-09-03,4,Piece seem prevent.
319,1353,2024-11-02,5,Attorney then center reflect federal.
320,1354,2023-12-21,1,Million particularly simple man.
321,1360,2025-01-04,1,Somebody final born again term skill.
322,1361,2023-08-11,5,Production community media choice now necessary.
323,1365,2024-05-02,7,Bill cover leg door eye apply center.
324,1369,2023-12-28,4,Expert open stage work thus.
325,1374,2025-01-26,2,Entire until job specific.
326,1376,2025-02-23,1,Get know lot former near goal difference.
327,1377,2024-08-10,4,Try get ok seven.
328,1378,2022-10-30,1,Almost she available economy history challenge school.
329,1379,2023-04-15,1,Cause matter career happen relationship stop station suggest.
330,1381,2024-03-05,3,Project agree owner country tree just.
331,1387,2022-08-09,2,Meet company can skin hair technology interview.
332,1390,2022-04-11,4,Audience others owner site girl fight.
333,1396,2023-12-30,5,Girl full everything general really reduce movement treatment.
334,1411,2022-04-17,5,Leader unit than guy with floor.
335,1424,2025-01-30,6,Program buy force sell.
336,1429,2024-04-04,3,Case recognize crime different image again fast.
337,1431,2024-03-23,3,About month something stand build concern network voice.
338,1436,2025-03-15,6,Security end society get.
339,1440,2023-09-05,3,Top here decide view.
340,1446,2024-08-26,2,Because a bag behavior identify increase subject.
341,1449,2024-08-28,7,Them central turn training trouble million none.
342,1450,2024-10-23,4,Fire already man campaign trouble.
343,1453,2021-02-11,6,Baby money might later able teacher.
344,1456,2021-08-12,7,None move fund.
345,1464,2025-01-30,2,Sort account energy south president ago ago.
346,1467,2022-08-19,2,Health security food budget fly tonight thought.
347,1481,2025-01-31,2,Up each news like.
348,1488,2024-05-18,2,White man name letter toward current.
349,1492,2024-12-18,6,Civil resource than protect approach white.
350,1493,2024-04-11,3,Son amount sing receive.
351,1495,2024-03-15,6,Simple yet main.
352,1496,2022-08-30,4,Many real expert particular religious wish environment.
353,1497,2021-03-11,1,Sometimes everybody growth culture.
